fid,firmness,texture,fungus,weight
t1,16.1,n,n,147
t2,21.3,n,n,142
t3,18.6,n,n,120
t4,15.8,n,n,113
t5,12.6,n,n,118
t6,15,n,y,110
t7,19.5,n,y,126
t8,5,n,y,116
t9,18,n,n,113
t10,13.2,n,y,145
t11,12.15,n,n,110
t12,15.1,n,n,114
t13,15.2,n,y,100
t14,12.8,n,n,139
t15,2.2,y,y,143
t16,3,y,n,99
t17,4.8,y,n,85
t18,0.8,y,y,142
t19,12.6,n,y,116
t20,8.3,y,y,111
t21,12.7,n,n,129
t22,8.4,y,n,125
t23,9.4,y,n,106
t24,11.1,n,n,106
t25,10.7,n,n,126
t26,15.9,n,n,130
t27,12.7,n,n,148
t28,9.9,n,n,128
t29,20,n,n,114
t30,11.9,n,n,124
t31,13.5,n,n,126
t32,11.8,n,n,113
t33,6.5,y,n,132
t34,10.5,n,n,140
t35,10.5,n,n,115
t36,15.5,n,n,111
t37,17.7,n,n,137
t38,16.6,n,n,122
t39,14.2,n,n,100
t40,14.1,n,n,113
t41,15.9,n,n,130
t42,12.1,y,n,144
t43,11.6,y,n,127
t44,16.9,n,n,135
t45,17.6,n,n,130
t46,17.1,n,n,110
t47,19.7,n,n,127
t48,14.8,y,n,115
t49,18.6,n,n,120
t50,14.3,y,n,115
t51,6.35,y,n,117
t52,9.35,y,n,124
t53,19.2,n,n,121
t54,11.6,y,y,139
t55,13.6,n,n,125
t56,16.2,n,n,110
t57,17.3,n,n,120
t58,14.1,n,n,112
t59,8.5,y,y,111
t60,20.1,n,y,124
t61,17.4,n,n,113
t62,22.9,n,n,133
t63,13.2,n,n,118
t64,14.3,n,n,132
t65,14.9,y,y,100
t66,27.2,n,n,110
t67,13.7,y,y,109
t68,12.7,y,y,129
t69,15.5,n,n,123
t70,16.6,n,n,139
t71,17.1,n,n,127
t72,21.2,n,n,111
t73,15.1,n,n,127
t74,14.7,y,n,113
t75,15.8,n,n,115
t76,7,y,n,130
t77,19.9,n,n,128
t78,14.1,y,n,135
t79,14.6,y,n,108
t80,14.5,y,n,114
t82,14.05,y,n,100
t83,17.15,n,n,112
t84,11.7,y,n,100
t85,15,n,n,125
t86,15.5,n,n,114
t87,12.1,y,n,115
t88,17.65,n,n,125
t89,14.45,y,n,100
t90,22.85,n,n,123
t91,14.1,y,n,116
t93,18.5,y,n,129
t94,19.05,n,n,118
t95,18.35,n,n,110
t96,18,n,n,133
t97,12.65,y,n,133
t98,14.3,n,n,120
t99,23.05,n,n,133
t100,18.05,n,n,109
t101,15.05,n,n,112
t102,11.9,y,n,128
t103,14.8,y,n,100
t104,19.25,n,n,106
t105,13.65,y,n,108
t106,16.85,n,n,113
t107,12.2,y,n,115
t108,15.05,n,n,127
t109,11.35,y,n,115
t110,14.1,y,n,113
t111,15.5,n,n,101
t112,26.4,n,n,146
t113,19.6,n,n,123
t114,13.3,y,n,131
t115,12.25,y,n,141
t116,11.9,y,n,135
t117,9.75,y,n,126
t118,14.1,y,n,128
t119,17.35,n,n,120
t121,18.15,n,n,110
t122,27.25,n,n,153
t123,17.75,n,n,111
t125,13.55,y,n,118
t126,16.85,n,n,125
t127,17.1,n,n,107
t128,16.15,n,n,129
t129,10.7,y,n,113
t130,12.3,y,n,132
t131,12.4,y,n,105
t132,10.75,y,y,122
t134,18.1,n,n,139
t135,15.9,n,n,114
t136,13.4,y,n,113
t137,12.6,y,n,112
t138,14.7,n,n,100
